"","s","x","y","pi","time","ID","sex","genus","species","treatment"
"60",656,1166,1592,"mothra03",2022-06-24 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"61",794,563,12,"mothra03",2022-06-24 21:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"62",2441,797,516,"mothra03",2022-06-24 21:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"63",1748,1274,727,"mothra03",2022-06-24 21:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"64",1729,755,1508,"mothra03",2022-06-24 21:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"65",1314,1641,792,"mothra03",2022-06-24 21:26:00,"99.9%_s10g15","male","photinus","greeni","D"
"66",1649,1512,811,"mothra03",2022-06-24 21:26:00,"99.9%_s10g15","male","photinus","greeni","D"
"67",3006,889,1004,"mothra03",2022-06-24 21:26:00,"99.9%_s10g15","male","photinus","greeni","D"
"68",1087,236,1276,"mothra03",2022-06-24 21:26:00,"99.9%_s10g15","male","photinus","greeni","D"
"69",1643,1432,1452,"mothra03",2022-06-24 21:26:00,"99.9%_s10g15","male","photinus","greeni","D"
"70",1321,405,97,"mothra03",2022-06-24 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"71",1615,1602,369,"mothra03",2022-06-24 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"72",2265,1006,585,"mothra03",2022-06-24 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"73",1778,1470,657,"mothra03",2022-06-24 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"74",1553,196,780,"mothra03",2022-06-24 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"75",893,431,1454,"mothra03",2022-06-24 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"76",584,462,1454,"mothra03",2022-06-24 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"77",1254,806,1586,"mothra03",2022-06-24 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"78",1524,1658,226,"mothra03",2022-06-24 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"79",1939,502,328,"mothra03",2022-06-24 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"80",1891,896,747,"mothra03",2022-06-24 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"81",1787,813,899,"mothra03",2022-06-24 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"82",1865,174,1333,"mothra03",2022-06-24 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"83",1082,515,1493,"mothra03",2022-06-24 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"84",1340,1007,1587,"mothra03",2022-06-24 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"85",1167,1232,12,"mothra03",2022-06-24 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"86",1785,1142,536,"mothra03",2022-06-24 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"87",1378,1544,563,"mothra03",2022-06-24 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"88",2005,810,675,"mothra03",2022-06-24 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"89",1619,1545,1276,"mothra03",2022-06-24 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"90",1333,300,1425,"mothra03",2022-06-24 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"91",2580,670,1551,"mothra03",2022-06-24 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"92",1383,1086,1586,"mothra03",2022-06-24 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"93",2063,707,497,"mothra03",2022-06-24 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"94",1677,594,905,"mothra03",2022-06-24 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"95",2069,1256,967,"mothra03",2022-06-24 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"96",2064,274,1064,"mothra03",2022-06-24 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"97",1749,553,1219,"mothra03",2022-06-24 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"98",1824,1218,1481,"mothra03",2022-06-24 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"99",800,1230,8,"mothra03",2022-06-24 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"100",2542,406,1056,"mothra03",2022-06-24 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"101",1324,316,1353,"mothra03",2022-06-24 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"102",4121,869,1574,"mothra03",2022-06-24 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"103",1463,1245,1564,"mothra03",2022-06-24 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"104",1108,59,747,"mothra03",2022-06-24 21:38:00,"99.9%_s10g15","male","photinus","greeni","D"
"105",1765,431,918,"mothra03",2022-06-24 21:38:00,"99.9%_s10g15","male","photinus","greeni","D"
"106",1965,1009,946,"mothra03",2022-06-24 21:38:00,"99.9%_s10g15","male","photinus","greeni","D"
"107",1065,378,1415,"mothra03",2022-06-24 21:38:00,"99.9%_s10g15","male","photinus","greeni","D"
"108",2111,680,1543,"mothra03",2022-06-24 21:38:00,"99.9%_s10g15","male","photinus","greeni","D"
"109",136,604,4,"mothra03",2022-06-24 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"110",2018,653,888,"mothra03",2022-06-24 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"111",1742,207,998,"mothra03",2022-06-24 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"112",1204,1639,994,"mothra03",2022-06-24 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"113",1607,825,1011,"mothra03",2022-06-24 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"114",2212,1034,1311,"mothra03",2022-06-24 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"115",1775,891,1344,"mothra03",2022-06-24 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"116",1997,829,1393,"mothra03",2022-06-24 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"117",299,141,406,"mothra03",2022-06-24 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"118",2121,415,613,"mothra03",2022-06-24 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"119",1500,1456,1288,"mothra03",2022-06-24 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"120",2073,1328,1304,"mothra03",2022-06-24 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"121",1832,1289,1378,"mothra03",2022-06-24 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"122",1687,1192,1564,"mothra03",2022-06-24 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"123",1940,1118,436,"mothra03",2022-06-24 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"124",1578,1656,795,"mothra03",2022-06-24 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"125",1691,545,1034,"mothra03",2022-06-24 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"126",893,64,1175,"mothra03",2022-06-24 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"127",1003,192,1220,"mothra03",2022-06-24 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"128",750,232,1222,"mothra03",2022-06-24 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"129",1024,1536,1421,"mothra03",2022-06-24 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"130",1726,651,1546,"mothra03",2022-06-24 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"131",1911,1249,89,"mothra03",2022-06-24 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"132",555,1701,538,"mothra03",2022-06-24 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"133",1991,1272,838,"mothra03",2022-06-24 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"134",2016,987,987,"mothra03",2022-06-24 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"135",1285,1514,988,"mothra03",2022-06-24 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"136",2122,649,1290,"mothra03",2022-06-24 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"137",1442,1099,1389,"mothra03",2022-06-24 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"138",1248,1458,1462,"mothra03",2022-06-24 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"139",1749,680,1466,"mothra03",2022-06-24 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"140",2033,493,58,"mothra03",2022-06-24 21:48:00,"99.9%_s10g15","male","photinus","greeni","D"
"141",1843,467,782,"mothra03",2022-06-24 21:48:00,"99.9%_s10g15","male","photinus","greeni","D"
"142",1033,38,825,"mothra03",2022-06-24 21:48:00,"99.9%_s10g15","male","photinus","greeni","D"
"143",588,149,1062,"mothra03",2022-06-24 21:48:00,"99.9%_s10g15","male","photinus","greeni","D"
"144",881,860,1589,"mothra03",2022-06-24 21:48:00,"99.9%_s10g15","male","photinus","greeni","D"
"145",1193,1597,759,"mothra03",2022-06-24 21:50:00,"99.9%_s10g15","male","photinus","greeni","D"
"146",2786,505,930,"mothra03",2022-06-24 21:50:00,"99.9%_s10g15","male","photinus","greeni","D"
"147",1906,1760,1185,"mothra03",2022-06-24 21:50:00,"99.9%_s10g15","male","photinus","greeni","D"
"148",1693,1007,1452,"mothra03",2022-06-24 21:50:00,"99.9%_s10g15","male","photinus","greeni","D"
"149",1151,1361,1516,"mothra03",2022-06-24 21:50:00,"99.9%_s10g15","male","photinus","greeni","D"
"150",1582,626,439,"mothra03",2022-06-24 21:52:00,"99.9%_s10g15","male","photinus","greeni","D"
"151",1920,704,515,"mothra03",2022-06-24 21:52:00,"99.9%_s10g15","male","photinus","greeni","D"
"152",1775,835,1321,"mothra03",2022-06-24 21:52:00,"99.9%_s10g15","male","photinus","greeni","D"
"153",1114,1541,1356,"mothra03",2022-06-24 21:52:00,"99.9%_s10g15","male","photinus","greeni","D"
"154",1486,1430,1473,"mothra03",2022-06-24 21:52:00,"99.9%_s10g15","male","photinus","greeni","D"
"155",1090,1323,1550,"mothra03",2022-06-24 21:52:00,"99.9%_s10g15","male","photinus","greeni","D"
"156",3140,890,401,"mothra03",2022-06-24 21:54:00,"99.9%_s10g15","male","photinus","greeni","D"
"157",1237,24,768,"mothra03",2022-06-24 21:54:00,"99.9%_s10g15","male","photinus","greeni","D"
"158",2015,690,1094,"mothra03",2022-06-24 21:54:00,"99.9%_s10g15","male","photinus","greeni","D"
"159",2875,1001,1358,"mothra03",2022-06-24 21:54:00,"99.9%_s10g15","male","photinus","greeni","D"
"160",1609,863,1583,"mothra03",2022-06-24 21:54:00,"99.9%_s10g15","male","photinus","greeni","D"
"161",1240,1680,778,"mothra03",2022-06-24 21:56:00,"99.9%_s10g15","male","photinus","greeni","D"
"162",1247,1272,829,"mothra03",2022-06-24 21:56:00,"99.9%_s10g15","male","photinus","greeni","D"
"163",1107,1221,833,"mothra03",2022-06-24 21:56:00,"99.9%_s10g15","male","photinus","greeni","D"
"164",828,143,1064,"mothra03",2022-06-24 21:56:00,"99.9%_s10g15","male","photinus","greeni","D"
"165",1447,1141,1501,"mothra03",2022-06-24 21:56:00,"99.9%_s10g15","male","photinus","greeni","D"
"166",783,1356,1515,"mothra03",2022-06-24 21:56:00,"99.9%_s10g15","male","photinus","greeni","D"
"167",160,990,1598,"mothra03",2022-06-24 21:56:00,"99.9%_s10g15","male","photinus","greeni","D"
"168",2320,1162,512,"mothra03",2022-06-24 21:58:00,"99.9%_s10g15","male","photinus","greeni","D"
"169",1206,162,665,"mothra03",2022-06-24 21:58:00,"99.9%_s10g15","male","photinus","greeni","D"
"170",2037,403,911,"mothra03",2022-06-24 21:58:00,"99.9%_s10g15","male","photinus","greeni","D"
"171",2070,686,1214,"mothra03",2022-06-24 21:58:00,"99.9%_s10g15","male","photinus","greeni","D"
"172",1859,1092,1431,"mothra03",2022-06-24 21:58:00,"99.9%_s10g15","male","photinus","greeni","D"
"173",1499,291,1457,"mothra03",2022-06-24 21:58:00,"99.9%_s10g15","male","photinus","greeni","D"
"174",993,1408,1491,"mothra03",2022-06-24 21:58:00,"99.9%_s10g15","male","photinus","greeni","D"
"175",841,247,205,"mothra03",2022-06-24 22:00:00,"99.9%_s10g15","male","photinus","greeni","D"
"176",1855,928,773,"mothra03",2022-06-24 22:00:00,"99.9%_s10g15","male","photinus","greeni","D"
"177",2027,564,945,"mothra03",2022-06-24 22:00:00,"99.9%_s10g15","male","photinus","greeni","D"
"178",1539,975,1126,"mothra03",2022-06-24 22:00:00,"99.9%_s10g15","male","photinus","greeni","D"
"179",1670,344,1339,"mothra03",2022-06-24 22:00:00,"99.9%_s10g15","male","photinus","greeni","D"
"180",2142,844,697,"mothra03",2022-06-24 22:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"181",1938,336,1016,"mothra03",2022-06-24 22:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"182",2170,548,1112,"mothra03",2022-06-24 22:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"183",2179,248,1129,"mothra03",2022-06-24 22:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"184",1677,1414,1466,"mothra03",2022-06-24 22:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"185",2049,1116,1471,"mothra03",2022-06-24 22:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"186",255,475,1476,"mothra03",2022-06-24 22:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"187",2031,1074,1537,"mothra03",2022-06-24 22:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"188",866,1156,1592,"mothra03",2022-06-24 22:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"189",1548,184,389,"mothra03",2022-06-24 22:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"190",445,1708,800,"mothra03",2022-06-24 22:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"191",388,1736,804,"mothra03",2022-06-24 22:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"192",1795,598,865,"mothra03",2022-06-24 22:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"193",1954,744,1203,"mothra03",2022-06-24 22:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"194",2173,1140,1399,"mothra03",2022-06-24 22:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"195",898,382,1417,"mothra03",2022-06-24 22:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"196",1515,750,1568,"mothra03",2022-06-24 22:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"197",1598,569,258,"mothra03",2022-06-24 22:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"198",1767,306,472,"mothra03",2022-06-24 22:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"199",1075,1644,747,"mothra03",2022-06-24 22:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"200",1971,1174,1224,"mothra03",2022-06-24 22:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"201",684,1582,1302,"mothra03",2022-06-24 22:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"202",1487,1501,1394,"mothra03",2022-06-24 22:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"203",921,1453,1441,"mothra03",2022-06-24 22:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"204",1421,575,1514,"mothra03",2022-06-24 22:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"205",1993,834,194,"mothra03",2022-06-24 22:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"206",1941,512,534,"mothra03",2022-06-24 22:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"207",1796,715,994,"mothra03",2022-06-24 22:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"208",1810,1458,1234,"mothra03",2022-06-24 22:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"209",989,1577,1426,"mothra03",2022-06-24 22:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"210",1186,1321,1543,"mothra03",2022-06-24 22:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"211",1628,1452,491,"mothra03",2022-06-24 22:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"212",1565,501,589,"mothra03",2022-06-24 22:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"213",1619,1638,885,"mothra03",2022-06-24 22:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"214",2364,983,947,"mothra03",2022-06-24 22:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"215",1605,311,1191,"mothra03",2022-06-24 22:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"216",1862,560,1212,"mothra03",2022-06-24 22:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"217",1496,271,530,"mothra03",2022-06-24 22:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"218",1867,657,1240,"mothra03",2022-06-24 22:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"219",1528,801,1345,"mothra03",2022-06-24 22:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"220",1826,715,1354,"mothra03",2022-06-24 22:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"221",1796,1088,1487,"mothra03",2022-06-24 22:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"222",1196,303,188,"mothra03",2022-06-24 22:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"223",805,224,287,"mothra03",2022-06-24 22:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"224",2150,149,421,"mothra03",2022-06-24 22:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"225",1635,1465,662,"mothra03",2022-06-24 22:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"226",1872,476,754,"mothra03",2022-06-24 22:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"227",2086,1097,1311,"mothra03",2022-06-24 22:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"228",523,1090,1597,"mothra03",2022-06-24 22:14:00,"99.9%_s10g15","male","photinus","greeni","D"
