"","s","x","y","pi","time","ID","sex","genus","species","treatment"
"5577",0,NA,NA,"mothra03",2022-06-28 18:02:00,"99.9%_s10g15","male","photinus","greeni","L"
"5578",0,NA,NA,"mothra03",2022-06-28 18:04:00,"99.9%_s10g15","male","photinus","greeni","L"
"5579",0,NA,NA,"mothra03",2022-06-28 18:06:00,"99.9%_s10g15","male","photinus","greeni","L"
"5580",0,NA,NA,"mothra03",2022-06-28 18:08:00,"99.9%_s10g15","male","photinus","greeni","L"
"5581",0,NA,NA,"mothra03",2022-06-28 18:10:00,"99.9%_s10g15","male","photinus","greeni","L"
"5582",0,NA,NA,"mothra03",2022-06-28 18:12:00,"99.9%_s10g15","male","photinus","greeni","L"
"5583",2125,325,941,"mothra03",2022-06-28 18:14:00,"99.9%_s10g15","male","photinus","greeni","L"
"5584",0,NA,NA,"mothra03",2022-06-28 18:16:00,"99.9%_s10g15","male","photinus","greeni","L"
"5585",0,NA,NA,"mothra03",2022-06-28 18:18:00,"99.9%_s10g15","male","photinus","greeni","L"
"5586",0,NA,NA,"mothra03",2022-06-28 18:20:00,"99.9%_s10g15","male","photinus","greeni","L"
"5587",284,1735,1477,"mothra03",2022-06-28 18:22:00,"99.9%_s10g15","male","photinus","greeni","L"
"5588",286,1698,1507,"mothra03",2022-06-28 18:22:00,"99.9%_s10g15","male","photinus","greeni","L"
"5589",0,NA,NA,"mothra03",2022-06-28 18:24:00,"99.9%_s10g15","male","photinus","greeni","L"
"5590",0,NA,NA,"mothra03",2022-06-28 18:26:00,"99.9%_s10g15","male","photinus","greeni","L"
"5591",300,1317,1588,"mothra03",2022-06-28 18:28:00,"99.9%_s10g15","male","photinus","greeni","L"
"5592",1853,759,68,"mothra03",2022-06-28 18:30:00,"99.9%_s10g15","male","photinus","greeni","L"
"5593",2081,256,861,"mothra03",2022-06-28 18:32:00,"99.9%_s10g15","male","photinus","greeni","L"
"5594",0,NA,NA,"mothra03",2022-06-28 18:34:00,"99.9%_s10g15","male","photinus","greeni","L"
"5595",0,NA,NA,"mothra03",2022-06-28 18:36:00,"99.9%_s10g15","male","photinus","greeni","L"
"5596",0,NA,NA,"mothra03",2022-06-28 18:38:00,"99.9%_s10g15","male","photinus","greeni","L"
"5597",0,NA,NA,"mothra03",2022-06-28 18:40:00,"99.9%_s10g15","male","photinus","greeni","L"
"5598",0,NA,NA,"mothra03",2022-06-28 18:42:00,"99.9%_s10g15","male","photinus","greeni","L"
"5599",0,NA,NA,"mothra03",2022-06-28 18:44:00,"99.9%_s10g15","male","photinus","greeni","L"
"5600",0,NA,NA,"mothra03",2022-06-28 18:46:00,"99.9%_s10g15","male","photinus","greeni","L"
"5601",0,NA,NA,"mothra03",2022-06-28 18:48:00,"99.9%_s10g15","male","photinus","greeni","L"
"5602",0,NA,NA,"mothra03",2022-06-28 18:50:00,"99.9%_s10g15","male","photinus","greeni","L"
"5603",0,NA,NA,"mothra03",2022-06-28 18:52:00,"99.9%_s10g15","male","photinus","greeni","L"
"5604",0,NA,NA,"mothra03",2022-06-28 18:54:00,"99.9%_s10g15","male","photinus","greeni","L"
"5605",0,NA,NA,"mothra03",2022-06-28 18:56:00,"99.9%_s10g15","male","photinus","greeni","L"
"5606",0,NA,NA,"mothra03",2022-06-28 18:58:00,"99.9%_s10g15","male","photinus","greeni","L"
"5607",0,NA,NA,"mothra03",2022-06-28 19:00:00,"99.9%_s10g15","male","photinus","greeni","L"
"5608",0,NA,NA,"mothra03",2022-06-28 19:02:00,"99.9%_s10g15","male","photinus","greeni","L"
"5609",0,NA,NA,"mothra03",2022-06-28 19:04:00,"99.9%_s10g15","male","photinus","greeni","L"
"5610",0,NA,NA,"mothra03",2022-06-28 19:06:00,"99.9%_s10g15","male","photinus","greeni","L"
"5611",167,1599,5,"mothra03",2022-06-28 19:08:00,"99.9%_s10g15","male","photinus","greeni","L"
"5612",0,NA,NA,"mothra03",2022-06-28 19:10:00,"99.9%_s10g15","male","photinus","greeni","L"
"5613",0,NA,NA,"mothra03",2022-06-28 19:12:00,"99.9%_s10g15","male","photinus","greeni","L"
"5614",2194,376,343,"mothra03",2022-06-28 19:14:00,"99.9%_s10g15","male","photinus","greeni","L"
"5615",2475,607,538,"mothra03",2022-06-28 19:16:00,"99.9%_s10g15","male","photinus","greeni","L"
"5616",2241,621,1284,"mothra03",2022-06-28 19:18:00,"99.9%_s10g15","male","photinus","greeni","L"
"5617",2314,536,716,"mothra03",2022-06-28 19:20:00,"99.9%_s10g15","male","photinus","greeni","L"
"5618",1927,700,1541,"mothra03",2022-06-28 19:22:00,"99.9%_s10g15","male","photinus","greeni","L"
"5619",184,1597,6,"mothra03",2022-06-28 19:24:00,"99.9%_s10g15","male","photinus","greeni","L"
"5620",2141,515,1301,"mothra03",2022-06-28 19:26:00,"99.9%_s10g15","male","photinus","greeni","L"
"5621",270,244,1402,"mothra03",2022-06-28 19:26:00,"99.9%_s10g15","male","photinus","greeni","L"
"5622",0,NA,NA,"mothra03",2022-06-28 19:28:00,"99.9%_s10g15","male","photinus","greeni","L"
"5623",2324,1076,1303,"mothra03",2022-06-28 19:30:00,"99.9%_s10g15","male","photinus","greeni","L"
"5624",0,NA,NA,"mothra03",2022-06-28 19:32:00,"99.9%_s10g15","male","photinus","greeni","L"
"5625",0,NA,NA,"mothra03",2022-06-28 19:34:00,"99.9%_s10g15","male","photinus","greeni","L"
"5626",0,NA,NA,"mothra03",2022-06-28 19:36:00,"99.9%_s10g15","male","photinus","greeni","L"
"5627",0,NA,NA,"mothra03",2022-06-28 19:38:00,"99.9%_s10g15","male","photinus","greeni","L"
"5628",0,NA,NA,"mothra03",2022-06-28 19:40:00,"99.9%_s10g15","male","photinus","greeni","L"
"5629",0,NA,NA,"mothra03",2022-06-28 19:42:00,"99.9%_s10g15","male","photinus","greeni","L"
"5630",0,NA,NA,"mothra03",2022-06-28 19:44:00,"99.9%_s10g15","male","photinus","greeni","L"
"5631",0,NA,NA,"mothra03",2022-06-28 19:46:00,"99.9%_s10g15","male","photinus","greeni","L"
"5632",0,NA,NA,"mothra03",2022-06-28 19:48:00,"99.9%_s10g15","male","photinus","greeni","L"
"5633",0,NA,NA,"mothra03",2022-06-28 19:50:00,"99.9%_s10g15","male","photinus","greeni","L"
"5634",0,NA,NA,"mothra03",2022-06-28 19:52:00,"99.9%_s10g15","male","photinus","greeni","L"
"5635",1038,1291,1575,"mothra03",2022-06-28 19:54:00,"99.9%_s10g15","male","photinus","greeni","L"
"5636",0,NA,NA,"mothra03",2022-06-28 19:56:00,"99.9%_s10g15","male","photinus","greeni","L"
"5637",0,NA,NA,"mothra03",2022-06-28 19:58:00,"99.9%_s10g15","male","photinus","greeni","L"
"5638",0,NA,NA,"mothra03",2022-06-28 20:00:00,"99.9%_s10g15","male","photinus","greeni","L"
"5639",0,NA,NA,"mothra03",2022-06-28 20:02:00,"99.9%_s10g15","male","photinus","greeni","L"
"5640",0,NA,NA,"mothra03",2022-06-28 20:04:00,"99.9%_s10g15","male","photinus","greeni","L"
"5641",2047,612,412,"mothra03",2022-06-28 20:06:00,"99.9%_s10g15","male","photinus","greeni","L"
"5642",2401,1420,477,"mothra03",2022-06-28 20:08:00,"99.9%_s10g15","male","photinus","greeni","L"
"5643",2222,308,1160,"mothra03",2022-06-28 20:10:00,"99.9%_s10g15","male","photinus","greeni","L"
"5644",0,NA,NA,"mothra03",2022-06-28 20:12:00,"99.9%_s10g15","male","photinus","greeni","L"
"5645",0,NA,NA,"mothra03",2022-06-28 20:14:00,"99.9%_s10g15","male","photinus","greeni","L"
"5646",1928,784,1481,"mothra03",2022-06-28 20:16:00,"99.9%_s10g15","male","photinus","greeni","L"
"5647",0,NA,NA,"mothra03",2022-06-28 20:18:00,"99.9%_s10g15","male","photinus","greeni","L"
"5648",2183,1463,858,"mothra03",2022-06-28 20:20:00,"99.9%_s10g15","male","photinus","greeni","L"
"5649",2132,1637,646,"mothra03",2022-06-28 20:22:00,"99.9%_s10g15","male","photinus","greeni","L"
"5650",2282,471,1150,"mothra03",2022-06-28 20:24:00,"99.9%_s10g15","male","photinus","greeni","L"
"5651",2121,1129,154,"mothra03",2022-06-28 20:26:00,"99.9%_s10g15","male","photinus","greeni","L"
"5652",2287,1184,1291,"mothra03",2022-06-28 20:28:00,"99.9%_s10g15","male","photinus","greeni","L"
"5653",0,NA,NA,"mothra03",2022-06-28 20:30:00,"99.9%_s10g15","male","photinus","greeni","L"
"5654",368,575,1548,"mothra03",2022-06-28 20:32:00,"99.9%_s10g15","male","photinus","greeni","L"
"5655",0,NA,NA,"mothra03",2022-06-28 20:34:00,"99.9%_s10g15","male","photinus","greeni","L"
"5656",329,541,1511,"mothra03",2022-06-28 20:36:00,"99.9%_s10g15","male","photinus","greeni","L"
"5657",2300,1277,1321,"mothra03",2022-06-28 20:38:00,"99.9%_s10g15","male","photinus","greeni","L"
"5658",0,NA,NA,"mothra03",2022-06-28 20:40:00,"99.9%_s10g15","male","photinus","greeni","L"
"5659",0,NA,NA,"mothra03",2022-06-28 20:42:00,"99.9%_s10g15","male","photinus","greeni","L"
"5660",0,NA,NA,"mothra03",2022-06-28 20:44:00,"99.9%_s10g15","male","photinus","greeni","L"
"5661",1697,1630,1021,"mothra03",2022-06-28 20:46:00,"99.9%_s10g15","male","photinus","greeni","L"
"5662",335,604,1547,"mothra03",2022-06-28 20:48:00,"99.9%_s10g15","male","photinus","greeni","L"
"5663",0,NA,NA,"mothra03",2022-06-28 20:50:00,"99.9%_s10g15","male","photinus","greeni","L"
"5664",0,NA,NA,"mothra03",2022-06-28 20:52:00,"99.9%_s10g15","male","photinus","greeni","L"
"5665",0,NA,NA,"mothra03",2022-06-28 20:54:00,"99.9%_s10g15","male","photinus","greeni","L"
"5666",0,NA,NA,"mothra03",2022-06-28 20:56:00,"99.9%_s10g15","male","photinus","greeni","L"
"5667",302,100,933,"mothra03",2022-06-28 20:58:00,"99.9%_s10g15","male","photinus","greeni","L"
"5668",0,NA,NA,"mothra03",2022-06-28 21:00:00,"99.9%_s10g15","male","photinus","greeni","D"
"5669",2e+06,0,0,"mothra03",2022-06-28 21:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"5670",1003,116,615,"mothra03",2022-06-28 21:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"5671",254,58,624,"mothra03",2022-06-28 21:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"5672",1407,140,425,"mothra03",2022-06-28 21:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"5673",1518,297,969,"mothra03",2022-06-28 21:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"5674",1895,933,1137,"mothra03",2022-06-28 21:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"5675",1806,379,1419,"mothra03",2022-06-28 21:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"5676",930,54,422,"mothra03",2022-06-28 21:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"5677",1439,53,1000,"mothra03",2022-06-28 21:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"5678",982,1634,1175,"mothra03",2022-06-28 21:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"5679",1293,1380,1510,"mothra03",2022-06-28 21:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"5680",646,1111,1595,"mothra03",2022-06-28 21:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"5681",923,1287,20,"mothra03",2022-06-28 21:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"5682",1871,581,71,"mothra03",2022-06-28 21:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"5683",400,64,379,"mothra03",2022-06-28 21:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"5684",1545,1034,802,"mothra03",2022-06-28 21:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"5685",1742,423,944,"mothra03",2022-06-28 21:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"5686",1770,754,1200,"mothra03",2022-06-28 21:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"5687",2108,491,585,"mothra03",2022-06-28 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"5688",1313,1567,931,"mothra03",2022-06-28 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"5689",476,208,1521,"mothra03",2022-06-28 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"5690",2028,1254,1565,"mothra03",2022-06-28 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"5691",913,138,351,"mothra03",2022-06-28 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"5692",419,1733,809,"mothra03",2022-06-28 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"5693",772,366,1416,"mothra03",2022-06-28 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"5694",1632,1067,1457,"mothra03",2022-06-28 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"5695",1577,1424,1471,"mothra03",2022-06-28 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"5696",2139,556,1508,"mothra03",2022-06-28 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"5697",1834,779,530,"mothra03",2022-06-28 21:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"5698",314,92,538,"mothra03",2022-06-28 21:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"5699",2039,1037,1062,"mothra03",2022-06-28 21:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"5700",1859,766,1293,"mothra03",2022-06-28 21:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"5701",1704,797,1547,"mothra03",2022-06-28 21:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"5702",2039,1476,388,"mothra03",2022-06-28 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"5703",1979,1124,414,"mothra03",2022-06-28 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"5704",1570,264,850,"mothra03",2022-06-28 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"5705",2070,720,1191,"mothra03",2022-06-28 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"5706",1067,1570,1284,"mothra03",2022-06-28 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"5707",1741,468,1311,"mothra03",2022-06-28 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"5708",1601,1481,1397,"mothra03",2022-06-28 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"5709",2247,1236,60,"mothra03",2022-06-28 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"5710",3747,1448,686,"mothra03",2022-06-28 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"5711",2090,567,828,"mothra03",2022-06-28 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"5712",927,1700,986,"mothra03",2022-06-28 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"5713",1770,273,1017,"mothra03",2022-06-28 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"5714",1118,215,1194,"mothra03",2022-06-28 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"5715",317,162,1190,"mothra03",2022-06-28 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"5716",1211,1329,1534,"mothra03",2022-06-28 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"5717",1857,1114,549,"mothra03",2022-06-28 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"5718",2419,495,742,"mothra03",2022-06-28 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"5719",2338,1341,777,"mothra03",2022-06-28 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"5720",2020,556,782,"mothra03",2022-06-28 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"5721",2230,877,901,"mothra03",2022-06-28 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"5722",254,150,1174,"mothra03",2022-06-28 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"5723",586,1599,1199,"mothra03",2022-06-28 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"5724",335,185,1216,"mothra03",2022-06-28 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"5725",853,230,1272,"mothra03",2022-06-28 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"5726",1726,1151,1372,"mothra03",2022-06-28 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"5727",2269,314,175,"mothra03",2022-06-28 21:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"5728",1976,1252,283,"mothra03",2022-06-28 21:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"5729",2276,926,732,"mothra03",2022-06-28 21:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"5730",2802,603,1195,"mothra03",2022-06-28 21:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"5731",2293,1039,1224,"mothra03",2022-06-28 21:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"5732",1922,1005,1286,"mothra03",2022-06-28 21:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"5733",1701,256,587,"mothra03",2022-06-28 21:26:00,"99.9%_s10g15","male","photinus","greeni","D"
"5734",1900,742,1147,"mothra03",2022-06-28 21:26:00,"99.9%_s10g15","male","photinus","greeni","D"
"5735",8840,254,1203,"mothra03",2022-06-28 21:26:00,"99.9%_s10g15","male","photinus","greeni","D"
"5736",1548,1062,1181,"mothra03",2022-06-28 21:26:00,"99.9%_s10g15","male","photinus","greeni","D"
"5737",1895,1291,1436,"mothra03",2022-06-28 21:26:00,"99.9%_s10g15","male","photinus","greeni","D"
"5738",194,472,5,"mothra03",2022-06-28 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"5739",1998,885,79,"mothra03",2022-06-28 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"5740",2122,653,776,"mothra03",2022-06-28 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"5741",353,128,1039,"mothra03",2022-06-28 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"5742",505,256,1317,"mothra03",2022-06-28 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"5743",556,365,1414,"mothra03",2022-06-28 21:28:00,"99.9%_s10g15","male","photinus","greeni","D"
"5744",1990,540,347,"mothra03",2022-06-28 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"5745",2221,1383,395,"mothra03",2022-06-28 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"5746",2085,891,891,"mothra03",2022-06-28 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"5747",2003,1162,991,"mothra03",2022-06-28 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"5748",2051,602,1117,"mothra03",2022-06-28 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"5749",1685,420,1175,"mothra03",2022-06-28 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"5750",1619,1269,1401,"mothra03",2022-06-28 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"5751",1263,278,1465,"mothra03",2022-06-28 21:30:00,"99.9%_s10g15","male","photinus","greeni","D"
"5752",596,474,26,"mothra03",2022-06-28 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"5753",543,1731,714,"mothra03",2022-06-28 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"5754",3875,1261,869,"mothra03",2022-06-28 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"5755",1873,1450,900,"mothra03",2022-06-28 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"5756",1616,247,1253,"mothra03",2022-06-28 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"5757",1963,735,1314,"mothra03",2022-06-28 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"5758",1733,578,1520,"mothra03",2022-06-28 21:32:00,"99.9%_s10g15","male","photinus","greeni","D"
"5759",1218,500,41,"mothra03",2022-06-28 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"5760",2563,932,191,"mothra03",2022-06-28 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"5761",2257,570,276,"mothra03",2022-06-28 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"5762",2056,907,502,"mothra03",2022-06-28 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"5763",1686,452,1319,"mothra03",2022-06-28 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"5764",2140,770,1391,"mothra03",2022-06-28 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"5765",1809,1348,1513,"mothra03",2022-06-28 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"5766",2727,1219,1579,"mothra03",2022-06-28 21:34:00,"99.9%_s10g15","male","photinus","greeni","D"
"5767",1997,528,733,"mothra03",2022-06-28 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"5768",1680,825,869,"mothra03",2022-06-28 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"5769",2240,1201,1196,"mothra03",2022-06-28 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"5770",1715,313,1259,"mothra03",2022-06-28 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"5771",961,415,1463,"mothra03",2022-06-28 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"5772",299,458,1458,"mothra03",2022-06-28 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"5773",1289,1389,1500,"mothra03",2022-06-28 21:36:00,"99.9%_s10g15","male","photinus","greeni","D"
"5774",1794,563,193,"mothra03",2022-06-28 21:38:00,"99.9%_s10g15","male","photinus","greeni","D"
"5775",1949,819,518,"mothra03",2022-06-28 21:38:00,"99.9%_s10g15","male","photinus","greeni","D"
"5776",1899,1117,794,"mothra03",2022-06-28 21:38:00,"99.9%_s10g15","male","photinus","greeni","D"
"5777",1939,464,893,"mothra03",2022-06-28 21:38:00,"99.9%_s10g15","male","photinus","greeni","D"
"5778",2094,479,1431,"mothra03",2022-06-28 21:38:00,"99.9%_s10g15","male","photinus","greeni","D"
"5779",1870,645,1500,"mothra03",2022-06-28 21:38:00,"99.9%_s10g15","male","photinus","greeni","D"
"5780",2337,517,248,"mothra03",2022-06-28 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"5781",1912,1095,416,"mothra03",2022-06-28 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"5782",2042,783,882,"mothra03",2022-06-28 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"5783",1855,516,1202,"mothra03",2022-06-28 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"5784",1387,1553,1301,"mothra03",2022-06-28 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"5785",441,1596,1292,"mothra03",2022-06-28 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"5786",1578,1058,1483,"mothra03",2022-06-28 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"5787",1876,1211,1527,"mothra03",2022-06-28 21:40:00,"99.9%_s10g15","male","photinus","greeni","D"
"5788",5402,989,579,"mothra03",2022-06-28 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"5789",401,1709,607,"mothra03",2022-06-28 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"5790",2015,508,901,"mothra03",2022-06-28 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"5791",2179,558,1288,"mothra03",2022-06-28 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"5792",1139,619,1548,"mothra03",2022-06-28 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"5793",448,656,1544,"mothra03",2022-06-28 21:42:00,"99.9%_s10g15","male","photinus","greeni","D"
"5794",1966,445,163,"mothra03",2022-06-28 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"5795",2289,1381,1136,"mothra03",2022-06-28 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"5796",1836,1342,1409,"mothra03",2022-06-28 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"5797",1866,1122,1495,"mothra03",2022-06-28 21:44:00,"99.9%_s10g15","male","photinus","greeni","D"
"5798",1418,1423,127,"mothra03",2022-06-28 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"5799",467,150,322,"mothra03",2022-06-28 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"5800",1053,184,596,"mothra03",2022-06-28 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"5801",1936,1201,994,"mothra03",2022-06-28 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"5802",2214,1278,1143,"mothra03",2022-06-28 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"5803",766,1663,1230,"mothra03",2022-06-28 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"5804",1629,836,1325,"mothra03",2022-06-28 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"5805",1823,929,1446,"mothra03",2022-06-28 21:46:00,"99.9%_s10g15","male","photinus","greeni","D"
"5806",366,105,930,"mothra03",2022-06-28 21:48:00,"99.9%_s10g15","male","photinus","greeni","D"
"5807",2310,574,1020,"mothra03",2022-06-28 21:48:00,"99.9%_s10g15","male","photinus","greeni","D"
"5808",2092,1343,1169,"mothra03",2022-06-28 21:48:00,"99.9%_s10g15","male","photinus","greeni","D"
"5809",1953,986,1392,"mothra03",2022-06-28 21:48:00,"99.9%_s10g15","male","photinus","greeni","D"
"5810",1504,1408,1455,"mothra03",2022-06-28 21:48:00,"99.9%_s10g15","male","photinus","greeni","D"
"5811",1103,1294,1562,"mothra03",2022-06-28 21:48:00,"99.9%_s10g15","male","photinus","greeni","D"
"5812",1254,255,131,"mothra03",2022-06-28 21:50:00,"99.9%_s10g15","male","photinus","greeni","D"
"5813",397,1605,376,"mothra03",2022-06-28 21:50:00,"99.9%_s10g15","male","photinus","greeni","D"
"5814",960,1661,388,"mothra03",2022-06-28 21:50:00,"99.9%_s10g15","male","photinus","greeni","D"
"5815",454,1731,752,"mothra03",2022-06-28 21:50:00,"99.9%_s10g15","male","photinus","greeni","D"
"5816",1787,294,853,"mothra03",2022-06-28 21:50:00,"99.9%_s10g15","male","photinus","greeni","D"
"5817",2310,1195,1374,"mothra03",2022-06-28 21:50:00,"99.9%_s10g15","male","photinus","greeni","D"
"5818",2146,821,408,"mothra03",2022-06-28 21:52:00,"99.9%_s10g15","male","photinus","greeni","D"
"5819",1742,1449,1093,"mothra03",2022-06-28 21:52:00,"99.9%_s10g15","male","photinus","greeni","D"
"5820",1632,800,1526,"mothra03",2022-06-28 21:52:00,"99.9%_s10g15","male","photinus","greeni","D"
"5821",1377,616,1565,"mothra03",2022-06-28 21:52:00,"99.9%_s10g15","male","photinus","greeni","D"
"5822",1845,753,1578,"mothra03",2022-06-28 21:52:00,"99.9%_s10g15","male","photinus","greeni","D"
"5823",5512,1240,830,"mothra03",2022-06-28 21:54:00,"99.9%_s10g15","male","photinus","greeni","D"
"5824",1633,1481,912,"mothra03",2022-06-28 21:54:00,"99.9%_s10g15","male","photinus","greeni","D"
"5825",2285,1360,944,"mothra03",2022-06-28 21:54:00,"99.9%_s10g15","male","photinus","greeni","D"
"5826",1518,244,1085,"mothra03",2022-06-28 21:54:00,"99.9%_s10g15","male","photinus","greeni","D"
"5827",911,1401,1529,"mothra03",2022-06-28 21:54:00,"99.9%_s10g15","male","photinus","greeni","D"
"5828",1816,505,109,"mothra03",2022-06-28 21:56:00,"99.9%_s10g15","male","photinus","greeni","D"
"5829",1691,361,353,"mothra03",2022-06-28 21:56:00,"99.9%_s10g15","male","photinus","greeni","D"
"5830",268,99,534,"mothra03",2022-06-28 21:56:00,"99.9%_s10g15","male","photinus","greeni","D"
"5831",1327,1564,944,"mothra03",2022-06-28 21:56:00,"99.9%_s10g15","male","photinus","greeni","D"
