"s","x","y","d","ID","sex","genus","species"
1177,1462,1419,"mothra03.0627.2344","99.9%_s10g15","male","photinus","greeni"
848,1405,1536,"mothra03.0627.2344","99.9%_s10g15","male","photinus","greeni"
1832,553,263,"mothra03.0627.2346","99.9%_s10g15","male","photinus","greeni"
1826,603,607,"mothra03.0627.2346","99.9%_s10g15","male","photinus","greeni"
2218,741,366,"mothra03.0627.2348","99.9%_s10g15","male","photinus","greeni"
2019,1209,727,"mothra03.0627.2348","99.9%_s10g15","male","photinus","greeni"
1238,99,863,"mothra03.0627.2348","99.9%_s10g15","male","photinus","greeni"
1802,1320,1539,"mothra03.0627.2348","99.9%_s10g15","male","photinus","greeni"
304,1102,1598,"mothra03.0627.2348","99.9%_s10g15","male","photinus","greeni"
1995,806,527,"mothra03.0627.2350","99.9%_s10g15","male","photinus","greeni"
1592,242,805,"mothra03.0627.2350","99.9%_s10g15","male","photinus","greeni"
951,1614,1002,"mothra03.0627.2350","99.9%_s10g15","male","photinus","greeni"
1368,561,1253,"mothra03.0627.2350","99.9%_s10g15","male","photinus","greeni"
1347,1478,1302,"mothra03.0627.2350","99.9%_s10g15","male","photinus","greeni"
208,1405,1596,"mothra03.0627.2350","99.9%_s10g15","male","photinus","greeni"
2041,768,279,"mothra03.0627.2352","99.9%_s10g15","male","photinus","greeni"
2183,1339,1086,"mothra03.0627.2352","99.9%_s10g15","male","photinus","greeni"
1783,620,1323,"mothra03.0627.2352","99.9%_s10g15","male","photinus","greeni"
1838,826,118,"mothra03.0627.2354","99.9%_s10g15","male","photinus","greeni"
957,1634,308,"mothra03.0627.2354","99.9%_s10g15","male","photinus","greeni"
2097,1142,479,"mothra03.0627.2354","99.9%_s10g15","male","photinus","greeni"
1806,1157,810,"mothra03.0627.2354","99.9%_s10g15","male","photinus","greeni"
1084,1581,1107,"mothra03.0627.2354","99.9%_s10g15","male","photinus","greeni"
684,1600,1275,"mothra03.0627.2354","99.9%_s10g15","male","photinus","greeni"
696,244,1314,"mothra03.0627.2354","99.9%_s10g15","male","photinus","greeni"
449,283,1312,"mothra03.0627.2354","99.9%_s10g15","male","photinus","greeni"
1236,1300,1546,"mothra03.0627.2354","99.9%_s10g15","male","photinus","greeni"
1498,1540,242,"mothra03.0627.2356","99.9%_s10g15","male","photinus","greeni"
1858,566,559,"mothra03.0627.2356","99.9%_s10g15","male","photinus","greeni"
2049,1421,595,"mothra03.0627.2356","99.9%_s10g15","male","photinus","greeni"
1825,995,1304,"mothra03.0627.2356","99.9%_s10g15","male","photinus","greeni"
1746,1013,1523,"mothra03.0627.2356","99.9%_s10g15","male","photinus","greeni"
1941,963,539,"mothra03.0627.2358","99.9%_s10g15","male","photinus","greeni"
1903,635,1233,"mothra03.0627.2358","99.9%_s10g15","male","photinus","greeni"
430,361,1517,"mothra03.0627.2358","99.9%_s10g15","male","photinus","greeni"
625,1360,1532,"mothra03.0627.2358","99.9%_s10g15","male","photinus","greeni"
938,224,310,"mothra03.0628.0000","99.9%_s10g15","male","photinus","greeni"
1017,154,1034,"mothra03.0628.0000","99.9%_s10g15","male","photinus","greeni"
421,141,1086,"mothra03.0628.0000","99.9%_s10g15","male","photinus","greeni"
402,368,1418,"mothra03.0628.0000","99.9%_s10g15","male","photinus","greeni"
1127,1457,1436,"mothra03.0628.0000","99.9%_s10g15","male","photinus","greeni"
2020,1365,1470,"mothra03.0628.0000","99.9%_s10g15","male","photinus","greeni"
302,1428,1452,"mothra03.0628.0000","99.9%_s10g15","male","photinus","greeni"
1498,1677,931,"mothra03.0628.0002","99.9%_s10g15","male","photinus","greeni"
1834,870,984,"mothra03.0628.0002","99.9%_s10g15","male","photinus","greeni"
689,215,1321,"mothra03.0628.0002","99.9%_s10g15","male","photinus","greeni"
934,1449,1426,"mothra03.0628.0002","99.9%_s10g15","male","photinus","greeni"
1053,790,1589,"mothra03.0628.0002","99.9%_s10g15","male","photinus","greeni"
1976,778,603,"mothra03.0628.0004","99.9%_s10g15","male","photinus","greeni"
1374,1520,676,"mothra03.0628.0004","99.9%_s10g15","male","photinus","greeni"
504,200,1239,"mothra03.0628.0004","99.9%_s10g15","male","photinus","greeni"
1392,448,1456,"mothra03.0628.0004","99.9%_s10g15","male","photinus","greeni"
391,212,276,"mothra03.0628.0006","99.9%_s10g15","male","photinus","greeni"
1656,518,679,"mothra03.0628.0006","99.9%_s10g15","male","photinus","greeni"
1752,322,1031,"mothra03.0628.0006","99.9%_s10g15","male","photinus","greeni"
1796,781,1512,"mothra03.0628.0006","99.9%_s10g15","male","photinus","greeni"
2035,683,250,"mothra03.0628.0008","99.9%_s10g15","male","photinus","greeni"
1943,1382,786,"mothra03.0628.0008","99.9%_s10g15","male","photinus","greeni"
1779,1356,1095,"mothra03.0628.0008","99.9%_s10g15","male","photinus","greeni"
2108,1246,264,"mothra03.0628.0010","99.9%_s10g15","male","photinus","greeni"
562,176,326,"mothra03.0628.0010","99.9%_s10g15","male","photinus","greeni"
1959,698,966,"mothra03.0628.0010","99.9%_s10g15","male","photinus","greeni"
2015,532,1020,"mothra03.0628.0010","99.9%_s10g15","male","photinus","greeni"
316,158,1047,"mothra03.0628.0010","99.9%_s10g15","male","photinus","greeni"
1821,781,1485,"mothra03.0628.0010","99.9%_s10g15","male","photinus","greeni"
1409,259,605,"mothra03.0628.0012","99.9%_s10g15","male","photinus","greeni"
1699,318,769,"mothra03.0628.0012","99.9%_s10g15","male","photinus","greeni"
2131,442,1322,"mothra03.0628.0012","99.9%_s10g15","male","photinus","greeni"
1985,523,1337,"mothra03.0628.0012","99.9%_s10g15","male","photinus","greeni"
1710,1044,1542,"mothra03.0628.0012","99.9%_s10g15","male","photinus","greeni"
2165,1313,1556,"mothra03.0628.0012","99.9%_s10g15","male","photinus","greeni"
1906,1194,500,"mothra03.0628.0014","99.9%_s10g15","male","photinus","greeni"
1157,1553,1032,"mothra03.0628.0014","99.9%_s10g15","male","photinus","greeni"
366,1685,1110,"mothra03.0628.0014","99.9%_s10g15","male","photinus","greeni"
1066,220,1219,"mothra03.0628.0014","99.9%_s10g15","male","photinus","greeni"
2164,647,1436,"mothra03.0628.0014","99.9%_s10g15","male","photinus","greeni"
1894,1015,1494,"mothra03.0628.0014","99.9%_s10g15","male","photinus","greeni"
1839,398,627,"mothra03.0628.0016","99.9%_s10g15","male","photinus","greeni"
1775,1660,815,"mothra03.0628.0016","99.9%_s10g15","male","photinus","greeni"
2051,275,1091,"mothra03.0628.0016","99.9%_s10g15","male","photinus","greeni"
1735,647,1224,"mothra03.0628.0016","99.9%_s10g15","male","photinus","greeni"
940,880,1595,"mothra03.0628.0016","99.9%_s10g15","male","photinus","greeni"
2234,1214,695,"mothra03.0628.0018","99.9%_s10g15","male","photinus","greeni"
1675,820,1469,"mothra03.0628.0018","99.9%_s10g15","male","photinus","greeni"
1577,1129,1565,"mothra03.0628.0018","99.9%_s10g15","male","photinus","greeni"
771,1325,1585,"mothra03.0628.0018","99.9%_s10g15","male","photinus","greeni"
2144,454,215,"mothra03.0628.0020","99.9%_s10g15","male","photinus","greeni"
1960,1370,460,"mothra03.0628.0020","99.9%_s10g15","male","photinus","greeni"
1608,184,791,"mothra03.0628.0020","99.9%_s10g15","male","photinus","greeni"
1711,349,1218,"mothra03.0628.0020","99.9%_s10g15","male","photinus","greeni"
674,817,1453,"mothra03.0628.0020","99.9%_s10g15","male","photinus","greeni"
1867,940,766,"mothra03.0628.0022","99.9%_s10g15","male","photinus","greeni"
2046,982,1130,"mothra03.0628.0022","99.9%_s10g15","male","photinus","greeni"
1706,582,1212,"mothra03.0628.0022","99.9%_s10g15","male","photinus","greeni"
1848,1448,1219,"mothra03.0628.0022","99.9%_s10g15","male","photinus","greeni"
2265,919,1294,"mothra03.0628.0022","99.9%_s10g15","male","photinus","greeni"
910,1548,1344,"mothra03.0628.0022","99.9%_s10g15","male","photinus","greeni"
2253,929,841,"mothra03.0628.0024","99.9%_s10g15","male","photinus","greeni"
1612,1506,852,"mothra03.0628.0024","99.9%_s10g15","male","photinus","greeni"
1696,403,1094,"mothra03.0628.0024","99.9%_s10g15","male","photinus","greeni"
2017,1228,1155,"mothra03.0628.0024","99.9%_s10g15","male","photinus","greeni"
1543,1205,1412,"mothra03.0628.0024","99.9%_s10g15","male","photinus","greeni"
914,117,483,"mothra03.0628.0026","99.9%_s10g15","male","photinus","greeni"
1754,562,920,"mothra03.0628.0026","99.9%_s10g15","male","photinus","greeni"
1194,1512,1092,"mothra03.0628.0026","99.9%_s10g15","male","photinus","greeni"
1655,566,1230,"mothra03.0628.0026","99.9%_s10g15","male","photinus","greeni"
1612,845,1426,"mothra03.0628.0026","99.9%_s10g15","male","photinus","greeni"
1986,577,1450,"mothra03.0628.0026","99.9%_s10g15","male","photinus","greeni"
1901,863,1540,"mothra03.0628.0026","99.9%_s10g15","male","photinus","greeni"
1163,1717,538,"mothra03.0628.0028","99.9%_s10g15","male","photinus","greeni"
2341,878,647,"mothra03.0628.0028","99.9%_s10g15","male","photinus","greeni"
1103,1634,680,"mothra03.0628.0028","99.9%_s10g15","male","photinus","greeni"
1507,354,779,"mothra03.0628.0028","99.9%_s10g15","male","photinus","greeni"
1944,1208,1190,"mothra03.0628.0028","99.9%_s10g15","male","photinus","greeni"
941,1482,1417,"mothra03.0628.0028","99.9%_s10g15","male","photinus","greeni"
1592,421,96,"mothra03.0628.0030","99.9%_s10g15","male","photinus","greeni"
1866,443,153,"mothra03.0628.0030","99.9%_s10g15","male","photinus","greeni"
1976,726,638,"mothra03.0628.0030","99.9%_s10g15","male","photinus","greeni"
1920,1330,1167,"mothra03.0628.0030","99.9%_s10g15","male","photinus","greeni"
1546,1572,1167,"mothra03.0628.0030","99.9%_s10g15","male","photinus","greeni"
1031,433,1454,"mothra03.0628.0030","99.9%_s10g15","male","photinus","greeni"
1677,666,462,"mothra03.0628.0032","99.9%_s10g15","male","photinus","greeni"
1915,814,626,"mothra03.0628.0032","99.9%_s10g15","male","photinus","greeni"
1807,387,777,"mothra03.0628.0032","99.9%_s10g15","male","photinus","greeni"
624,1400,86,"mothra03.0628.0034","99.9%_s10g15","male","photinus","greeni"
681,73,716,"mothra03.0628.0034","99.9%_s10g15","male","photinus","greeni"
301,111,713,"mothra03.0628.0034","99.9%_s10g15","male","photinus","greeni"
935,80,526,"mothra03.0628.0036","99.9%_s10g15","male","photinus","greeni"
909,127,535,"mothra03.0628.0036","99.9%_s10g15","male","photinus","greeni"
4334,927,946,"mothra03.0628.0036","99.9%_s10g15","male","photinus","greeni"
1746,937,515,"mothra03.0628.0038","99.9%_s10g15","male","photinus","greeni"
1748,771,689,"mothra03.0628.0038","99.9%_s10g15","male","photinus","greeni"
2311,1341,1038,"mothra03.0628.0038","99.9%_s10g15","male","photinus","greeni"
989,1511,1224,"mothra03.0628.0038","99.9%_s10g15","male","photinus","greeni"
333,830,1450,"mothra03.0628.0038","99.9%_s10g15","male","photinus","greeni"
1675,672,1530,"mothra03.0628.0038","99.9%_s10g15","male","photinus","greeni"
2276,773,345,"mothra03.0628.0040","99.9%_s10g15","male","photinus","greeni"
2194,1207,795,"mothra03.0628.0040","99.9%_s10g15","male","photinus","greeni"
1600,1197,1423,"mothra03.0628.0040","99.9%_s10g15","male","photinus","greeni"
1692,1237,1578,"mothra03.0628.0040","99.9%_s10g15","male","photinus","greeni"
2164,614,1037,"mothra03.0628.0042","99.9%_s10g15","male","photinus","greeni"
1565,1235,1096,"mothra03.0628.0042","99.9%_s10g15","male","photinus","greeni"
2049,1300,1270,"mothra03.0628.0042","99.9%_s10g15","male","photinus","greeni"
1729,361,1263,"mothra03.0628.0042","99.9%_s10g15","male","photinus","greeni"
2087,640,1396,"mothra03.0628.0042","99.9%_s10g15","male","photinus","greeni"
1791,722,1460,"mothra03.0628.0042","99.9%_s10g15","male","photinus","greeni"
1856,545,607,"mothra03.0628.0044","99.9%_s10g15","male","photinus","greeni"
1732,350,916,"mothra03.0628.0044","99.9%_s10g15","male","photinus","greeni"
1565,746,1416,"mothra03.0628.0044","99.9%_s10g15","male","photinus","greeni"
2007,1223,1478,"mothra03.0628.0044","99.9%_s10g15","male","photinus","greeni"
2137,304,1010,"mothra03.0628.0046","99.9%_s10g15","male","photinus","greeni"
1736,1459,1245,"mothra03.0628.0046","99.9%_s10g15","male","photinus","greeni"
1877,872,1258,"mothra03.0628.0046","99.9%_s10g15","male","photinus","greeni"
1490,1363,1425,"mothra03.0628.0046","99.9%_s10g15","male","photinus","greeni"
1263,1317,1550,"mothra03.0628.0046","99.9%_s10g15","male","photinus","greeni"
707,96,444,"mothra03.0628.0048","99.9%_s10g15","male","photinus","greeni"
590,148,443,"mothra03.0628.0048","99.9%_s10g15","male","photinus","greeni"
1744,771,1279,"mothra03.0628.0048","99.9%_s10g15","male","photinus","greeni"
1617,569,1374,"mothra03.0628.0048","99.9%_s10g15","male","photinus","greeni"
1649,1073,376,"mothra03.0628.0050","99.9%_s10g15","male","photinus","greeni"
969,154,1100,"mothra03.0628.0050","99.9%_s10g15","male","photinus","greeni"
1850,1077,1574,"mothra03.0628.0050","99.9%_s10g15","male","photinus","greeni"
2180,484,332,"mothra03.0628.0052","99.9%_s10g15","male","photinus","greeni"
1891,951,701,"mothra03.0628.0052","99.9%_s10g15","male","photinus","greeni"
1891,1138,706,"mothra03.0628.0052","99.9%_s10g15","male","photinus","greeni"
1808,1280,1369,"mothra03.0628.0052","99.9%_s10g15","male","photinus","greeni"
245,931,1596,"mothra03.0628.0052","99.9%_s10g15","male","photinus","greeni"
1617,801,154,"mothra03.0628.0054","99.9%_s10g15","male","photinus","greeni"
1882,305,1057,"mothra03.0628.0054","99.9%_s10g15","male","photinus","greeni"
1865,781,1106,"mothra03.0628.0054","99.9%_s10g15","male","photinus","greeni"
1698,558,1331,"mothra03.0628.0054","99.9%_s10g15","male","photinus","greeni"
2097,359,422,"mothra03.0628.0056","99.9%_s10g15","male","photinus","greeni"
2102,421,799,"mothra03.0628.0056","99.9%_s10g15","male","photinus","greeni"
1739,1405,1362,"mothra03.0628.0056","99.9%_s10g15","male","photinus","greeni"
1986,600,737,"mothra03.0628.0058","99.9%_s10g15","male","photinus","greeni"
1890,438,858,"mothra03.0628.0058","99.9%_s10g15","male","photinus","greeni"
2166,739,1035,"mothra03.0628.0058","99.9%_s10g15","male","photinus","greeni"
1505,349,1137,"mothra03.0628.0058","99.9%_s10g15","male","photinus","greeni"
1932,1057,1587,"mothra03.0628.0058","99.9%_s10g15","male","photinus","greeni"
1658,632,77,"mothra03.0628.0100","99.9%_s10g15","male","photinus","greeni"
285,1753,1147,"mothra03.0628.0100","99.9%_s10g15","male","photinus","greeni"
1861,953,1229,"mothra03.0628.0100","99.9%_s10g15","male","photinus","greeni"
463,776,1311,"mothra03.0628.0100","99.9%_s10g15","male","photinus","greeni"
371,1421,1592,"mothra03.0628.0100","99.9%_s10g15","male","photinus","greeni"
249,1070,1597,"mothra03.0628.0100","99.9%_s10g15","male","photinus","greeni"
1410,234,679,"mothra03.0628.0102","99.9%_s10g15","male","photinus","greeni"
1928,1290,969,"mothra03.0628.0102","99.9%_s10g15","male","photinus","greeni"
376,763,1305,"mothra03.0628.0102","99.9%_s10g15","male","photinus","greeni"
1422,1454,136,"mothra03.0628.0104","99.9%_s10g15","male","photinus","greeni"
1473,332,251,"mothra03.0628.0104","99.9%_s10g15","male","photinus","greeni"
2023,584,793,"mothra03.0628.0104","99.9%_s10g15","male","photinus","greeni"
1142,145,1007,"mothra03.0628.0104","99.9%_s10g15","male","photinus","greeni"
1667,1526,1335,"mothra03.0628.0104","99.9%_s10g15","male","photinus","greeni"
838,1604,376,"mothra03.0628.0106","99.9%_s10g15","male","photinus","greeni"
1569,356,750,"mothra03.0628.0106","99.9%_s10g15","male","photinus","greeni"
605,1767,1151,"mothra03.0628.0106","99.9%_s10g15","male","photinus","greeni"
600,756,1299,"mothra03.0628.0106","99.9%_s10g15","male","photinus","greeni"
1056,1330,1567,"mothra03.0628.0106","99.9%_s10g15","male","photinus","greeni"
1271,994,1591,"mothra03.0628.0106","99.9%_s10g15","male","photinus","greeni"
261,931,7,"mothra03.0628.0108","99.9%_s10g15","male","photinus","greeni"
2146,428,280,"mothra03.0628.0108","99.9%_s10g15","male","photinus","greeni"
1035,1544,999,"mothra03.0628.0108","99.9%_s10g15","male","photinus","greeni"
1867,266,1131,"mothra03.0628.0108","99.9%_s10g15","male","photinus","greeni"
1670,1519,712,"mothra03.0628.0110","99.9%_s10g15","male","photinus","greeni"
331,773,1304,"mothra03.0628.0110","99.9%_s10g15","male","photinus","greeni"
1715,552,1386,"mothra03.0628.0110","99.9%_s10g15","male","photinus","greeni"
1201,500,1490,"mothra03.0628.0110","99.9%_s10g15","male","photinus","greeni"
1196,840,1593,"mothra03.0628.0110","99.9%_s10g15","male","photinus","greeni"
985,1091,15,"mothra03.0628.0112","99.9%_s10g15","male","photinus","greeni"
1749,1293,803,"mothra03.0628.0112","99.9%_s10g15","male","photinus","greeni"
1403,143,893,"mothra03.0628.0112","99.9%_s10g15","male","photinus","greeni"
1597,274,1314,"mothra03.0628.0112","99.9%_s10g15","male","photinus","greeni"
1963,1326,1399,"mothra03.0628.0112","99.9%_s10g15","male","photinus","greeni"
1553,204,551,"mothra03.0628.0114","99.9%_s10g15","male","photinus","greeni"
1884,1225,998,"mothra03.0628.0114","99.9%_s10g15","male","photinus","greeni"
483,758,1299,"mothra03.0628.0114","99.9%_s10g15","male","photinus","greeni"
1452,768,1488,"mothra03.0628.0114","99.9%_s10g15","male","photinus","greeni"
730,1207,1591,"mothra03.0628.0114","99.9%_s10g15","male","photinus","greeni"
1925,417,932,"mothra03.0628.0116","99.9%_s10g15","male","photinus","greeni"
1728,546,1504,"mothra03.0628.0116","99.9%_s10g15","male","photinus","greeni"
1306,1311,1558,"mothra03.0628.0116","99.9%_s10g15","male","photinus","greeni"
1382,219,340,"mothra03.0628.0118","99.9%_s10g15","male","photinus","greeni"
738,784,1298,"mothra03.0628.0118","99.9%_s10g15","male","photinus","greeni"
1904,1267,1563,"mothra03.0628.0118","99.9%_s10g15","male","photinus","greeni"
985,986,1593,"mothra03.0628.0118","99.9%_s10g15","male","photinus","greeni"
1570,554,161,"mothra03.0628.0120","99.9%_s10g15","male","photinus","greeni"
1961,713,208,"mothra03.0628.0120","99.9%_s10g15","male","photinus","greeni"
1955,645,665,"mothra03.0628.0120","99.9%_s10g15","male","photinus","greeni"
826,782,1273,"mothra03.0628.0120","99.9%_s10g15","male","photinus","greeni"
2268,1316,447,"mothra03.0628.0122","99.9%_s10g15","male","photinus","greeni"
1152,105,832,"mothra03.0628.0122","99.9%_s10g15","male","photinus","greeni"
1522,1651,857,"mothra03.0628.0122","99.9%_s10g15","male","photinus","greeni"
963,761,1291,"mothra03.0628.0122","99.9%_s10g15","male","photinus","greeni"
1343,1401,1493,"mothra03.0628.0122","99.9%_s10g15","male","photinus","greeni"
1612,547,233,"mothra03.0628.0124","99.9%_s10g15","male","photinus","greeni"
1420,1571,328,"mothra03.0628.0124","99.9%_s10g15","male","photinus","greeni"
1860,594,1340,"mothra03.0628.0124","99.9%_s10g15","male","photinus","greeni"
2233,504,293,"mothra03.0628.0126","99.9%_s10g15","male","photinus","greeni"
1773,452,715,"mothra03.0628.0126","99.9%_s10g15","male","photinus","greeni"
1514,1215,1568,"mothra03.0628.0126","99.9%_s10g15","male","photinus","greeni"
509,903,1596,"mothra03.0628.0126","99.9%_s10g15","male","photinus","greeni"
1738,487,537,"mothra03.0628.0128","99.9%_s10g15","male","photinus","greeni"
1871,1297,553,"mothra03.0628.0128","99.9%_s10g15","male","photinus","greeni"
1833,1146,1117,"mothra03.0628.0128","99.9%_s10g15","male","photinus","greeni"
1150,755,1247,"mothra03.0628.0128","99.9%_s10g15","male","photinus","greeni"
1632,804,1498,"mothra03.0628.0128","99.9%_s10g15","male","photinus","greeni"
990,1232,1579,"mothra03.0628.0128","99.9%_s10g15","male","photinus","greeni"
1395,1120,1584,"mothra03.0628.0130","99.9%_s10g15","male","photinus","greeni"
1955,673,1151,"mothra03.0628.0132","99.9%_s10g15","male","photinus","greeni"
1571,1190,1156,"mothra03.0628.0132","99.9%_s10g15","male","photinus","greeni"
1957,1301,1552,"mothra03.0628.0132","99.9%_s10g15","male","photinus","greeni"
717,489,39,"mothra03.0628.0134","99.9%_s10g15","male","photinus","greeni"
1956,751,921,"mothra03.0628.0134","99.9%_s10g15","male","photinus","greeni"
1868,515,1220,"mothra03.0628.0134","99.9%_s10g15","male","photinus","greeni"
1558,1154,1444,"mothra03.0628.0134","99.9%_s10g15","male","photinus","greeni"
1283,144,795,"mothra03.0628.0136","99.9%_s10g15","male","photinus","greeni"
2124,425,1104,"mothra03.0628.0136","99.9%_s10g15","male","photinus","greeni"
1102,1441,1459,"mothra03.0628.0136","99.9%_s10g15","male","photinus","greeni"
917,509,1507,"mothra03.0628.0136","99.9%_s10g15","male","photinus","greeni"
565,551,1506,"mothra03.0628.0136","99.9%_s10g15","male","photinus","greeni"
1864,1286,1534,"mothra03.0628.0136","99.9%_s10g15","male","photinus","greeni"
2343,472,67,"mothra03.0628.0138","99.9%_s10g15","male","photinus","greeni"
821,1605,355,"mothra03.0628.0138","99.9%_s10g15","male","photinus","greeni"
1780,939,764,"mothra03.0628.0138","99.9%_s10g15","male","photinus","greeni"
2079,1413,1162,"mothra03.0628.0138","99.9%_s10g15","male","photinus","greeni"
1857,1116,1392,"mothra03.0628.0138","99.9%_s10g15","male","photinus","greeni"
1702,788,1409,"mothra03.0628.0138","99.9%_s10g15","male","photinus","greeni"
1719,246,457,"mothra03.0628.0140","99.9%_s10g15","male","photinus","greeni"
901,1552,1295,"mothra03.0628.0140","99.9%_s10g15","male","photinus","greeni"
1667,728,1338,"mothra03.0628.0140","99.9%_s10g15","male","photinus","greeni"
1838,1248,1061,"mothra03.0628.0142","99.9%_s10g15","male","photinus","greeni"
1461,329,1228,"mothra03.0628.0142","99.9%_s10g15","male","photinus","greeni"
519,1583,1337,"mothra03.0628.0142","99.9%_s10g15","male","photinus","greeni"
1001,1373,1515,"mothra03.0628.0142","99.9%_s10g15","male","photinus","greeni"
1941,460,697,"mothra03.0628.0144","99.9%_s10g15","male","photinus","greeni"
1799,501,820,"mothra03.0628.0144","99.9%_s10g15","male","photinus","greeni"
1521,328,1037,"mothra03.0628.0144","99.9%_s10g15","male","photinus","greeni"
1517,1486,1134,"mothra03.0628.0144","99.9%_s10g15","male","photinus","greeni"
1369,1317,1549,"mothra03.0628.0144","99.9%_s10g15","male","photinus","greeni"
459,726,1308,"mothra03.0628.0146","99.9%_s10g15","male","photinus","greeni"
1632,735,1380,"mothra03.0628.0146","99.9%_s10g15","male","photinus","greeni"
1810,1038,1379,"mothra03.0628.0146","99.9%_s10g15","male","photinus","greeni"
301,1391,1596,"mothra03.0628.0146","99.9%_s10g15","male","photinus","greeni"
1699,325,736,"mothra03.0628.0148","99.9%_s10g15","male","photinus","greeni"
334,61,746,"mothra03.0628.0148","99.9%_s10g15","male","photinus","greeni"
803,61,811,"mothra03.0628.0148","99.9%_s10g15","male","photinus","greeni"
869,713,1337,"mothra03.0628.0148","99.9%_s10g15","male","photinus","greeni"
1120,1312,1563,"mothra03.0628.0148","99.9%_s10g15","male","photinus","greeni"
1660,1294,821,"mothra03.0628.0150","99.9%_s10g15","male","photinus","greeni"
1851,612,1188,"mothra03.0628.0150","99.9%_s10g15","male","photinus","greeni"
1691,1079,1483,"mothra03.0628.0150","99.9%_s10g15","male","photinus","greeni"
868,1334,1578,"mothra03.0628.0150","99.9%_s10g15","male","photinus","greeni"
1944,1140,1040,"mothra03.0628.0152","99.9%_s10g15","male","photinus","greeni"
1435,410,1153,"mothra03.0628.0152","99.9%_s10g15","male","photinus","greeni"
1508,1322,107,"mothra03.0628.0154","99.9%_s10g15","male","photinus","greeni"
2038,786,1212,"mothra03.0628.0154","99.9%_s10g15","male","photinus","greeni"
1728,459,1444,"mothra03.0628.0154","99.9%_s10g15","male","photinus","greeni"
1465,318,1093,"mothra03.0628.0156","99.9%_s10g15","male","photinus","greeni"
1985,711,1149,"mothra03.0628.0156","99.9%_s10g15","male","photinus","greeni"
2087,1044,1211,"mothra03.0628.0156","99.9%_s10g15","male","photinus","greeni"
255,709,1333,"mothra03.0628.0156","99.9%_s10g15","male","photinus","greeni"
1578,1419,247,"mothra03.0628.0158","99.9%_s10g15","male","photinus","greeni"
2009,817,839,"mothra03.0628.0158","99.9%_s10g15","male","photinus","greeni"
1206,813,1580,"mothra03.0628.0158","99.9%_s10g15","male","photinus","greeni"
2012,947,264,"mothra03.0628.0200","99.9%_s10g15","male","photinus","greeni"
1980,617,996,"mothra03.0628.0200","99.9%_s10g15","male","photinus","greeni"
1441,1444,1304,"mothra03.0628.0200","99.9%_s10g15","male","photinus","greeni"
1724,331,981,"mothra03.0628.0202","99.9%_s10g15","male","photinus","greeni"
1321,1527,1130,"mothra03.0628.0202","99.9%_s10g15","male","photinus","greeni"
986,700,1297,"mothra03.0628.0202","99.9%_s10g15","male","photinus","greeni"
870,266,1328,"mothra03.0628.0202","99.9%_s10g15","male","photinus","greeni"
1783,1213,1349,"mothra03.0628.0202","99.9%_s10g15","male","photinus","greeni"
1561,55,974,"mothra03.0628.0204","99.9%_s10g15","male","photinus","greeni"
531,744,1312,"mothra03.0628.0204","99.9%_s10g15","male","photinus","greeni"
524,709,1344,"mothra03.0628.0204","99.9%_s10g15","male","photinus","greeni"
1592,164,1441,"mothra03.0628.0204","99.9%_s10g15","male","photinus","greeni"
1439,1752,591,"mothra03.0628.0206","99.9%_s10g15","male","photinus","greeni"
1930,615,920,"mothra03.0628.0206","99.9%_s10g15","male","photinus","greeni"
815,1609,1141,"mothra03.0628.0206","99.9%_s10g15","male","photinus","greeni"
708,733,1290,"mothra03.0628.0206","99.9%_s10g15","male","photinus","greeni"
400,709,1322,"mothra03.0628.0206","99.9%_s10g15","male","photinus","greeni"
1275,118,705,"mothra03.0628.0208","99.9%_s10g15","male","photinus","greeni"
1733,731,1249,"mothra03.0628.0208","99.9%_s10g15","male","photinus","greeni"
1983,518,723,"mothra03.0628.0210","99.9%_s10g15","male","photinus","greeni"
1899,1166,1084,"mothra03.0628.0210","99.9%_s10g15","male","photinus","greeni"
1143,578,1542,"mothra03.0628.0210","99.9%_s10g15","male","photinus","greeni"
1960,759,764,"mothra03.0628.0212","99.9%_s10g15","male","photinus","greeni"
1787,991,1081,"mothra03.0628.0214","99.9%_s10g15","male","photinus","greeni"
1542,295,1325,"mothra03.0628.0214","99.9%_s10g15","male","photinus","greeni"
566,596,1549,"mothra03.0628.0214","99.9%_s10g15","male","photinus","greeni"
2007,1135,552,"mothra03.0628.0216","99.9%_s10g15","male","photinus","greeni"
401,619,1543,"mothra03.0628.0216","99.9%_s10g15","male","photinus","greeni"
0,NA,NA,"mothra03.0628.0218","99.9%_s10g15","male","photinus","greeni"
1610,389,170,"mothra03.0628.0220","99.9%_s10g15","male","photinus","greeni"
388,180,1198,"mothra03.0628.0220","99.9%_s10g15","male","photinus","greeni"
1547,1495,791,"mothra03.0628.0222","99.9%_s10g15","male","photinus","greeni"
403,658,1559,"mothra03.0628.0222","99.9%_s10g15","male","photinus","greeni"
875,1510,766,"mothra03.0628.0224","99.9%_s10g15","male","photinus","greeni"
743,490,40,"mothra03.0628.0226","99.9%_s10g15","male","photinus","greeni"
1755,1354,1208,"mothra03.0628.0226","99.9%_s10g15","male","photinus","greeni"
1634,518,400,"mothra03.0628.0228","99.9%_s10g15","male","photinus","greeni"
408,238,1256,"mothra03.0628.0228","99.9%_s10g15","male","photinus","greeni"
537,208,1260,"mothra03.0628.0228","99.9%_s10g15","male","photinus","greeni"
