"s","x","y","d","ID","sex","genus","species"
1939,502,328,"mothra03.0624.2130","99.9%_s10g15","male","photinus","greeni"
1891,896,747,"mothra03.0624.2130","99.9%_s10g15","male","photinus","greeni"
1787,813,899,"mothra03.0624.2130","99.9%_s10g15","male","photinus","greeni"
1865,174,1333,"mothra03.0624.2130","99.9%_s10g15","male","photinus","greeni"
1082,515,1493,"mothra03.0624.2130","99.9%_s10g15","male","photinus","greeni"
1340,1007,1587,"mothra03.0624.2130","99.9%_s10g15","male","photinus","greeni"
1167,1232,12,"mothra03.0624.2132","99.9%_s10g15","male","photinus","greeni"
1785,1142,536,"mothra03.0624.2132","99.9%_s10g15","male","photinus","greeni"
1378,1544,563,"mothra03.0624.2132","99.9%_s10g15","male","photinus","greeni"
2005,810,675,"mothra03.0624.2132","99.9%_s10g15","male","photinus","greeni"
1619,1545,1276,"mothra03.0624.2132","99.9%_s10g15","male","photinus","greeni"
1333,300,1425,"mothra03.0624.2132","99.9%_s10g15","male","photinus","greeni"
2580,670,1551,"mothra03.0624.2132","99.9%_s10g15","male","photinus","greeni"
1383,1086,1586,"mothra03.0624.2132","99.9%_s10g15","male","photinus","greeni"
2063,707,497,"mothra03.0624.2134","99.9%_s10g15","male","photinus","greeni"
1677,594,905,"mothra03.0624.2134","99.9%_s10g15","male","photinus","greeni"
2069,1256,967,"mothra03.0624.2134","99.9%_s10g15","male","photinus","greeni"
2064,274,1064,"mothra03.0624.2134","99.9%_s10g15","male","photinus","greeni"
1749,553,1219,"mothra03.0624.2134","99.9%_s10g15","male","photinus","greeni"
1824,1218,1481,"mothra03.0624.2134","99.9%_s10g15","male","photinus","greeni"
800,1230,8,"mothra03.0624.2136","99.9%_s10g15","male","photinus","greeni"
2542,406,1056,"mothra03.0624.2136","99.9%_s10g15","male","photinus","greeni"
1324,316,1353,"mothra03.0624.2136","99.9%_s10g15","male","photinus","greeni"
4121,869,1574,"mothra03.0624.2136","99.9%_s10g15","male","photinus","greeni"
1463,1245,1564,"mothra03.0624.2136","99.9%_s10g15","male","photinus","greeni"
1108,59,747,"mothra03.0624.2138","99.9%_s10g15","male","photinus","greeni"
1765,431,918,"mothra03.0624.2138","99.9%_s10g15","male","photinus","greeni"
1965,1009,946,"mothra03.0624.2138","99.9%_s10g15","male","photinus","greeni"
1065,378,1415,"mothra03.0624.2138","99.9%_s10g15","male","photinus","greeni"
2111,680,1543,"mothra03.0624.2138","99.9%_s10g15","male","photinus","greeni"
136,604,4,"mothra03.0624.2140","99.9%_s10g15","male","photinus","greeni"
